cases,seed,method,dissipation_coverage,dissipation_width,dissipation_error,steepness_coverage,steepness_width,steepness_error,converged,n_iter,n_fev,n_skipped,n_nonfinite,termination_status,termination_message,max_iter,max_fun
24,5,POPS ellipse,0.9166666666666666,0.5507537755228171,0.03862973433984346,0.5666666666666667,0.3550580354020404,0.15480313651472813,,,,,,,,,
24,5,Ellipse+EB,0.9166666666666666,0.6039565514145402,0.04664805059024469,0.6,0.42694419781314275,0.151826227629473,,,,,,,,,
24,5,Ellipse+PAC,1.0,1.1145240950428539,0.05008625981424638,0.7666666666666667,0.69807283055486,0.14844284568304678,,,,,,,,,
24,5,Bayesian stacking,0.65,0.4436608897824384,0.04136221027455876,0.48333333333333334,0.3937591450149271,0.16530961481771442,,,,,,,,,
24,5,PVI,0.8666666666666667,0.49612671566058597,0.06543546056168564,0.5833333333333334,0.39473009107176704,0.17470703002654037,True,20000.0,20000.0,0.0,,,,,
24,5,PACm,0.95,0.6016865413992609,0.07252185797027752,0.5666666666666667,0.4024200380357368,0.18524217120639735,True,191.0,206.0,,0.0,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20000.0,
24,5,PAC2-T,0.06666666666666667,0.006282511278818676,0.03951603622952565,0.016666666666666666,0.005028903663841339,0.1545805375176204,True,1523.0,1633.0,,0.0,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20000.0,
24,6,Bayesian ridge,0.65,0.22036270502625072,0.0847573380556155,0.45,0.16586934332296657,0.14661629156689382,,,,,,,,,
24,6,POPS hypercube,0.9666666666666667,1.0961788413262812,0.19896422329894892,0.8166666666666667,0.5419460509351155,0.10876414264931925,,,,,,,,,
24,6,POPS ellipse,0.9333333333333333,0.7996499213900867,0.08457576047787974,0.6666666666666666,0.5576950695288874,0.14428050924781227,,,,,,,,,
24,6,Ellipse+EB,1.0,0.9959223892106746,0.08269400330909016,0.6833333333333333,0.5920054772990234,0.1428213968751513,,,,,,,,,
24,6,Ellipse+PAC,1.0,1.1321060195336607,0.0784904284226282,0.7666666666666667,0.7050120806682065,0.14708870816220387,,,,,,,,,
24,6,Bayesian stacking,0.65,0.37566021378580094,0.07716804456599438,0.45,0.2286719524126275,0.1498423373026423,,,,,,,,,
24,6,PVI,1.0,1.345556171411824,0.08822371549094113,0.75,0.8134449999202101,0.11559913834252997,True,20000.0,20000.0,0.0,,,,,
24,6,PACm,1.0,1.6960629228595163,0.09128526167550055,0.85,0.8657333678868135,0.07882048732127209,True,415.0,470.0,,0.0,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20000.0,
24,6,PAC2-T,0.05,0.006286861626456204,0.06585850908667619,0.03333333333333333,0.004641198584165827,0.1465705113312008,True,4125.0,4426.0,,0.0,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20000.0,
24,7,Bayesian ridge,0.7,0.1699915114801077,0.06111801693283828,0.23333333333333334,0.10531540207580627,0.16082227817137024,,,,,,,,,
24,7,POPS hypercube,0.9333333333333333,0.35955979340779887,0.05852903411124065,0.48333333333333334,0.2243517997025784,0.1441302261477695,,,,,,,,,
24,7,POPS ellipse,0.9833333333333333,0.5538301008390805,0.0547640410778993,0.5,0.3719838586685651,0.16114802470567266,,,,,,,,,
24,7,Ellipse+EB,0.9833333333333333,0.6094214605336328,0.05070628713218908,0.65,0.39389040097588346,0.16216271129189477,,,,,,,,,
24,7,Ellipse+PAC,0.9666666666666667,0.6308767135584474,0.07058997740766759,0.6333333333333333,0.3551237954685509,0.14846568784836212,,,,,,,,,
24,7,Bayesian stacking,0.7666666666666667,0.48665028774722785,0.05436786626073398,0.45,0.26841497008586246,0.15908354110821277,,,,,,,,,
24,7,PVI,0.95,0.6946785544811478,0.04279812510334717,0.6,0.35472190607336446,0.13408975194094827,True,20000.0,20000.0,0.0,,,,,
24,7,PACm,1.0,0.930817029107748,0.06279385255278191,0.7333333333333333,0.5333154353084193,0.15474252970341634,True,217.0,240.0,,0.0,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20000.0,
24,7,PAC2-T,0.1,0.0068108378868732295,0.06375707314577206,0.0,0.004571038156013492,0.16122925505721994,True,4109.0,4453.0,,0.0,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20000.0,
24,8,Bayesian ridge,0.55,0.10072446755229882,0.04217974102031251,0.25,0.07264649598678771,0.12588411989280068,,,,,,,,,
24,8,POPS hypercube,0.8166666666666667,0.26585760559434257,0.028299723533819904,0.4666666666666667,0.17177993812710274,0.13056530723894827,,,,,,,,,
24,8,POPS ellipse,0.8666666666666667,0.3808272102995688,0.04192064347201989,0.5333333333333333,0.26042237703203197,0.12602544152131712,,,,,,,,,
24,8,Ellipse+EB,0.8833333333333333,0.43250893140055935,0.0421302601381712,0.6,0.2954067541336103,0.12652276858496286,,,,,,,,,
24,8,Ellipse+PAC,0.9166666666666666,0.5196407188394041,0.03624453627092333,0.6333333333333333,0.34582910476317436,0.13597741338677033,,,,,,,,,
24,8,Bayesian stacking,0.6333333333333333,0.43001652015417213,0.04299423128831394,0.4166666666666667,0.330055607992911,0.12906201955487845,,,,,,,,,
24,8,PVI,0.85,0.41135687293363427,0.04991848761532326,0.6,0.32962991919069273,0.14560068476454927,True,20000.0,20000.0,0.0,,,,,
24,8,PACm,0.9166666666666666,0.5634988945482942,0.07108758486743452,0.6166666666666667,0.3560627295412365,0.1424491065137353,True,233.0,259.0,,0.0,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20000.0,
24,8,PAC2-T,0.1,0.006100028444259601,0.03984402544529517,0.016666666666666666,0.004648584795228808,0.1329739489739176,True,2908.0,3055.0,,0.0,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20000.0,
24,9,Bayesian ridge,0.45,0.10855881001863137,0.07768112875318162,0.26666666666666666,0.07682601972389139,0.1753783089264602,,,,,,,,,
24,9,POPS hypercube,1.0,0.8258163251389112,0.12658519173391164,0.6166666666666667,0.40392650217926596,0.19257950158719667,,,,,,,,,
24,9,POPS ellipse,0.9666666666666667,0.760923007913888,0.07386757804660343,0.6,0.5211982421406887,0.17174164641622197,,,,,,,,,
24,9,Ellipse+EB,0.9666666666666667,0.7775089266638882,0.08473410272743416,0.6333333333333333,0.5329278614220648,0.17897747356487345,,,,,,,,,
24,9,Ellipse+PAC,0.9666666666666667,1.0990093002966728,0.06732148399724497,0.6333333333333333,0.5676147803079326,0.17690793681559025,,,,,,,,,
24,9,Bayesian stacking,0.5666666666666667,0.3930552149029063,0.0792594169054466,0.4166666666666667,0.35297338892495833,0.17552660879354398,,,,,,,,,
24,9,PVI,0.8666666666666667,0.5704386892899151,0.05476353593640984,0.6,0.5637433792539948,0.19635129335456103,True,20000.0,20000.0,0.0,,,,,
24,9,PACm,1.0,0.891087975882797,0.06655995209361167,0.7,0.5184906361511097,0.17990903772782724,True,238.0,257.0,,0.0,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20000.0,
24,9,PAC2-T,0.08333333333333333,0.008225456241623491,0.07214310967598683,0.03333333333333333,0.006209303163657778,0.17247064411571134,True,2358.0,2483.0,,0.0,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20000.0,
24,10,Bayesian ridge,0.6166666666666667,0.1937097309781926,0.0635977870210068,0.36666666666666664,0.1458431765929519,0.18947212672985098,,,,,,,,,
24,10,POPS hypercube,0.9666666666666667,0.7880011927909345,0.13840825516734806,0.6,0.383303171575222,0.17868794549900463,,,,,,,,,
24,10,POPS ellipse,0.95,0.791971482055575,0.060853257407203105,0.65,0.48147605269219784,0.18778758168931214,,,,,,,,,
24,10,Ellipse+EB,0.95,0.8176992597353019,0.062185189403143964,0.65,0.5698510283708491,0.1828008733586582,,,,,,,,,
24,10,Ellipse+PAC,0.95,0.9866953995504768,0.06993091319442128,0.6833333333333333,0.5769876115471981,0.17847982175544524,,,,,,,,,
24,10,Bayesian stacking,0.65,0.4748750891028619,0.11200204932209037,0.4166666666666667,0.40128616238939113,0.19742807237040444,,,,,,,,,
24,10,PVI,0.9833333333333333,1.1543157685688017,0.18334364618741938,0.75,0.7651576786240791,0.17661995572616188,True,20000.0,20000.0,0.0,,,,,
24,10,PACm,1.0,1.142465854143317,0.11970371367680148,0.7833333333333333,0.7471516705257252,0.1894322234025761,True,174.0,187.0,,0.0,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20000.0,
24,10,PAC2-T,0.03333333333333333,0.007304997455793339,0.07693239143234225,0.03333333333333333,0.005630758765643653,0.18856314669362426,True,1706.0,1808.0,,0.0,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20000.0,
24,11,Bayesian ridge,0.5,0.1906904299108979,0.13045998886132132,0.3333333333333333,0.1333291138709634,0.23582941434263222,,,,,,,,,
24,11,POPS hypercube,0.9666666666666667,1.3121895004519524,0.285527910432004,0.7833333333333333,0.6745957788407044,0.23463051215924685,,,,,,,,,
24,11,POPS ellipse,0.95,1.6164474055560025,0.15752151849616539,0.65,0.9689442772657784,0.2600910558088313,,,,,,,,,
24,11,Ellipse+EB,0.9666666666666667,1.651872508187901,0.14510590192080125,0.6833333333333333,1.0628747457440535,0.2490403546810705,,,,,,,,,
24,11,Ellipse+PAC,1.0,5.665983093581377,0.25907787425121476,0.8833333333333333,2.227238914981597,0.3208404125622537,,,,,,,,,
24,11,Bayesian stacking,0.5,0.26695862104203216,0.1281769467487191,0.35,0.3277734282950586,0.24854624751562493,,,,,,,,,
24,11,PVI,0.9166666666666666,1.619410593595941,0.12798929033377648,0.8,0.9563906424783213,0.13224851662353532,True,20000.0,20000.0,0.0,,,,,
24,11,PACm,1.0,1.6105362196118482,0.07403551286948795,0.85,0.8814690929322083,0.1380332312795995,True,280.0,308.0,,0.0,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20000.0,
