problem,N,repeat,method,sigma,n_samples,converged,termination,termination_status,termination_message,n_iter,n_fev,max_iter,max_fun,n_nonfinite,train_variance,train_objective,train_data,train_kl,fresh_objective,fresh_data,fresh_kl,fit_time,rmse,coverage_95.45,width_95.45,coverage_99.9,width_99.9,interval_score,nll,zero_density,nll_floor,pp_area_signed,pp_area_abs,pit_area_signed,pit_area_abs
burgers,8,4,POPS ellipse,,,True,closed_form,,,,,,,,,-1.0352976063424026,,,,,,0.0196977923624217,0.0860288103575257,0.7229166666666668,0.1333678010289519,0.8057291666666667,0.1875490886565749,0.8920755353266464,inf,0.1619791666666667,-0.596738551549137,0.1009775680959389,0.1012268597957325,0.0016247936466424,0.0481289192057585
burgers,8,5,POPS ellipse,,,True,closed_form,,,,,,,,,-1.7096326339085204,,,,,,0.0115087497979402,0.0718995367882683,0.8229166666666667,0.1637492850750216,0.9239583333333334,0.2302731914827746,0.3840004545603077,inf,0.0447916666666666,-1.4067468298846042,0.0985228909384608,0.0987867787479677,0.0021877415248662,0.0729843150257251
burgers,8,6,POPS ellipse,,,True,closed_form,,,,,,,,,-2.162769840081928,,,,,,0.0137668750248849,0.1002066953000948,0.4489583333333334,0.0660884909872201,0.5859375000000001,0.092937246919355,1.481626770619389,inf,0.3223958333333334,0.8886247146277086,0.2379518191001966,0.2382829750891018,0.0158056002855747,0.1523948903534098
burgers,8,7,POPS ellipse,,,True,closed_form,,,,,,,,,-1.9563709421146496,,,,,,0.0388982919976115,0.0717906077889415,0.4932291666666667,0.0630467587158722,0.6114583333333334,0.0886597968075658,0.9804540044042253,inf,0.3380208333333334,0.7160828891613071,0.2414153215605015,0.2415948327367167,0.0060883163100661,0.1377521437692423
burgers,8,8,POPS ellipse,,,True,closed_form,,,,,,,,,-0.5385388212724058,,,,,,0.0098283747211098,0.0666426836316713,0.9302083333333332,0.2368735144222555,0.9828125,0.3331044780973132,0.322324778199218,inf,0.0104166666666666,-1.7169376719703744,0.0134072950153734,0.0344566074977362,0.0034912812087447,0.0103899796303751
burgers,8,9,POPS ellipse,,,True,closed_form,,,,,,,,,-1.0037340015154288,,,,,,0.0086496663279831,0.0726763347213369,0.8880208333333333,0.2343573522385841,0.9390625,0.3295661133588909,0.3976729194004956,inf,0.0432291666666666,-1.6322981753667831,-0.0415621365437856,0.0415621365437856,0.005929919016297,0.0357755911026723
burgers,8,10,POPS ellipse,,,True,closed_form,,,,,,,,,-0.6572118988632243,,,,,,0.0205859998241066,0.0796467179046568,0.8171875000000001,0.1323235923043073,0.8796875,0.1860806652951803,0.7502628401989753,inf,0.0979166666666666,-1.177645192529865,0.0950942314990048,0.095413689650034,0.0008203548311649,0.0414161806953407
burgers,8,11,POPS ellipse,,,True,closed_form,,,,,,,,,-0.6662746207401242,,,,,,0.0114683751016855,0.1173328423063614,0.7390625,0.2649346134687215,0.8697916666666666,0.3725655287575558,0.7097166619738365,inf,0.0729166666666666,-0.4144720432884756,0.1453083133689614,0.1457321381645705,0.0022370229251781,0.0955374090370478
burgers,8,12,POPS ellipse,,,True,closed_form,,,,,,,,,-1.2675445277335966,,,,,,0.0206100838258862,0.0713990647614333,0.7359375000000001,0.137228996399374,0.8479166666666667,0.1929789125514363,0.4931349801086773,inf,0.0989583333333333,-1.1083432739623595,0.0696322758991674,0.0698756641810955,-0.0027657029989424,0.0602279062584709
burgers,8,13,POPS ellipse,,,True,closed_form,,,,,,,,,-1.321760393757843,,,,,,0.0281996666453778,0.0957954986093178,0.6145833333333335,0.1210474820611185,0.7520833333333333,0.1702235829755517,1.1098579336424357,inf,0.1776041666666666,-0.0560902130577155,0.148837206097753,0.1490367317189553,-0.0005103499193432,0.0983844615379904
burgers,8,14,POPS ellipse,,,True,closed_form,,,,,,,,,-1.2079950646042146,,,,,,0.0170044172555208,0.0688928357294165,0.7098958333333334,0.0786070997197325,0.8197916666666667,0.110541598500923,0.7108493445709245,inf,0.1380208333333333,-1.0651980064498807,0.1190518527553015,0.1193575668989486,0.0026972595204611,0.080276634219164
burgers,8,15,POPS ellipse,,,True,closed_form,,,,,,,,,-1.055252041300982,,,,,,0.0135431247763335,0.0755565675450138,0.8375,0.1782052595415391,0.91875,0.2506019726122415,0.5544684211507251,inf,0.0583333333333333,-1.2231765868990534,0.0773560492196198,0.0775358253053674,-0.0026622278266608,0.0412616018564386
burgers,8,16,POPS ellipse,,,True,closed_form,,,,,,,,,-1.6182347934470167,,,,,,0.0318044577725231,0.0704668574644573,0.6484375000000001,0.0675949396544566,0.7734375,0.0950556973434666,0.8799532308222491,inf,0.1911458333333333,-0.6322059120321821,0.1617305978128358,0.1619309224011876,0.0031583396774484,0.0955031978269398
burgers,8,17,POPS ellipse,,,True,closed_form,,,,,,,,,-1.3776632588633555,,,,,,0.0270341248251497,0.072340490424661,0.6401041666666668,0.1242681511292307,0.8140625,0.1747526637875854,0.5860061234407188,inf,0.1239583333333333,-0.5330260924278272,0.145377214219247,0.145672935909107,-0.0032815229904199,0.1104148340686759
