problem,size,seed,n_units,n_test_units,units_per_param,fold,prior_std,n_prior_draws,test_unit_fraction,softmax_median,softmax_spread
burgers,8.0,1,8,120,1.0,1,0.125,64,1.0,0.4170682527281099,0.005016697737640796
burgers,8.0,1,8,120,1.0,1,0.125,256,1.0,0.4177768184141425,0.0028339619048702303
burgers,8.0,1,8,120,1.0,1,0.125,1024,1.0,0.4173715862795988,0.0015757945384797245
burgers,8.0,1,8,120,1.0,1,0.125,4096,1.0,0.4176243917189719,0.000689305694771658
burgers,8.0,2,8,120,1.0,0,1.0,64,0.25,1.792682194473288,1.073249582400108
burgers,8.0,2,8,120,1.0,0,1.0,256,0.25,2.3289025815588382,1.0826257761421645
burgers,8.0,2,8,120,1.0,0,1.0,1024,0.25,2.0280756131046482,1.5034224593436794
burgers,8.0,2,8,120,1.0,0,1.0,4096,0.25,2.395614213923576,1.242153343231326
burgers,8.0,2,8,120,1.0,0,1.0,64,0.5,2.2304467992368764,0.7159798461260556
burgers,8.0,2,8,120,1.0,0,1.0,256,0.5,2.2053675370994332,0.5655796174748586
burgers,8.0,2,8,120,1.0,0,1.0,1024,0.5,2.266357979151273,0.6665116010552818
burgers,8.0,2,8,120,1.0,0,1.0,4096,0.5,2.2992631716400997,0.5994328869169132
burgers,8.0,2,8,120,1.0,0,1.0,64,1.0,2.2744736933175993,0.030753842463953962
burgers,8.0,2,8,120,1.0,0,1.0,256,1.0,2.271492890397286,0.018540691950518884
burgers,8.0,2,8,120,1.0,0,1.0,1024,1.0,2.2744020749576594,0.011801868647974167
burgers,8.0,2,8,120,1.0,0,1.0,4096,1.0,2.2732420409097465,0.0032883580177056615
burgers,8.0,2,8,120,1.0,1,1.0,64,0.25,1.7119095184123625,0.764878620845258
burgers,8.0,2,8,120,1.0,1,1.0,256,0.25,1.8860760842527866,0.656268765146258
burgers,8.0,2,8,120,1.0,1,1.0,1024,0.25,1.7538203142534865,0.45310488940150795
burgers,8.0,2,8,120,1.0,1,1.0,4096,0.25,1.7672153083694244,0.5217116328289924
burgers,8.0,2,8,120,1.0,1,1.0,64,0.5,1.661011590477927,0.3504369561546594
burgers,8.0,2,8,120,1.0,1,1.0,256,0.5,1.6040035730519555,0.48343724764449303
burgers,8.0,2,8,120,1.0,1,1.0,1024,0.5,1.7647522444754182,0.32820647296814
burgers,8.0,2,8,120,1.0,1,1.0,4096,0.5,1.6766242030599041,0.28876660892345485
burgers,8.0,2,8,120,1.0,1,1.0,64,1.0,1.7217365589010385,0.010268618456889866
burgers,8.0,2,8,120,1.0,1,1.0,256,1.0,1.7221636122772768,0.005112172469067255
burgers,8.0,2,8,120,1.0,1,1.0,1024,1.0,1.7205324651552854,0.0027690928329500153
burgers,8.0,2,8,120,1.0,1,1.0,4096,1.0,1.7207475847960128,0.0013526235118732632
burgers,80.0,0,80,120,10.0,0,0.125,64,0.25,0.20442428846764277,0.10872792475826146
burgers,80.0,0,80,120,10.0,0,0.125,256,0.25,0.19262990341715397,0.08676370068064945
burgers,80.0,0,80,120,10.0,0,0.125,1024,0.25,0.20559306422250234,0.0692413213126144
burgers,80.0,0,80,120,10.0,0,0.125,4096,0.25,0.19010194530130858,0.11847980601270758
burgers,80.0,0,80,120,10.0,0,0.125,64,0.5,0.2051354567872457,0.06546189286354082
burgers,80.0,0,80,120,10.0,0,0.125,256,0.5,0.20775278509800793,0.047072804845716354
burgers,80.0,0,80,120,10.0,0,0.125,1024,0.5,0.21146397222509228,0.04682298176162736
burgers,80.0,0,80,120,10.0,0,0.125,4096,0.5,0.1987549585787783,0.056483709241267194
burgers,80.0,0,80,120,10.0,0,0.125,64,1.0,0.2073883718334819,0.002779217247748572
burgers,80.0,0,80,120,10.0,0,0.125,256,1.0,0.208373139402252,0.002029008811409938
burgers,80.0,0,80,120,10.0,0,0.125,1024,1.0,0.20808044497871575,0.0008505163931530058
burgers,80.0,0,80,120,10.0,0,0.125,4096,1.0,0.20813700754418685,0.0003809031443671451
burgers,80.0,0,80,120,10.0,1,0.25,64,0.25,0.2095797528017076,0.1615934581630977
burgers,80.0,0,80,120,10.0,1,0.25,256,0.25,0.21156676903164168,0.109020288849145
burgers,80.0,0,80,120,10.0,1,0.25,1024,0.25,0.22106219525655674,0.094369028462334
burgers,80.0,0,80,120,10.0,1,0.25,4096,0.25,0.2007632937178142,0.11433543404589819
burgers,80.0,0,80,120,10.0,1,0.25,64,0.5,0.2104017771103448,0.054668953118361285
burgers,80.0,0,80,120,10.0,1,0.25,256,0.5,0.1838428048118969,0.09103701286335866
burgers,80.0,0,80,120,10.0,1,0.25,1024,0.5,0.20675905405575307,0.07909743070909003
burgers,80.0,0,80,120,10.0,1,0.25,4096,0.5,0.22777472411798488,0.07066025473050114
burgers,80.0,0,80,120,10.0,1,0.25,64,1.0,0.2038646300165762,0.02217955709461894
burgers,80.0,0,80,120,10.0,1,0.25,256,1.0,0.20469841021839896,0.008828468744107754
burgers,80.0,0,80,120,10.0,1,0.25,1024,1.0,0.20578055204240586,0.010716880082317526
burgers,80.0,0,80,120,10.0,1,0.25,4096,1.0,0.20651834823266269,0.006035373382190928
burgers,80.0,1,80,120,10.0,0,0.25,64,0.25,0.213787632387116,0.08006152838043512
burgers,80.0,1,80,120,10.0,0,0.25,256,0.25,0.2196434926997553,0.08723370049102747
burgers,80.0,1,80,120,10.0,0,0.25,1024,0.25,0.22448148676595153,0.061197911124608345
burgers,80.0,1,80,120,10.0,0,0.25,4096,0.25,0.2013377301328371,0.04640938709778736
burgers,80.0,1,80,120,10.0,0,0.25,64,0.5,0.21176545718345746,0.036253812180519845
burgers,80.0,1,80,120,10.0,0,0.25,256,0.5,0.22217094575645002,0.07396723965847207
burgers,80.0,1,80,120,10.0,0,0.25,1024,0.5,0.2059310606762973,0.06246619756206773
burgers,80.0,1,80,120,10.0,0,0.25,4096,0.5,0.2097019906484164,0.06860869467280775
burgers,80.0,1,80,120,10.0,0,0.25,64,1.0,0.2142571075977847,0.021365818558336802
burgers,80.0,1,80,120,10.0,0,0.25,256,1.0,0.215987768804559,0.0241406812839238
burgers,80.0,1,80,120,10.0,0,0.25,1024,1.0,0.2141476189061152,0.005300909904205453
burgers,80.0,1,80,120,10.0,0,0.25,4096,1.0,0.2135822314830062,0.002286681585143474
burgers,80.0,1,80,120,10.0,1,1.0,64,0.25,0.8453497748337411,0.3629976184771495
burgers,80.0,1,80,120,10.0,1,1.0,256,0.25,0.9137404186558111,0.39754109176858565
burgers,80.0,1,80,120,10.0,1,1.0,1024,0.25,0.9797558202695429,0.6749254549292079
burgers,80.0,1,80,120,10.0,1,1.0,4096,0.25,1.2710625048839037,0.4198358476542604
burgers,80.0,1,80,120,10.0,1,1.0,64,0.5,0.7683753875041562,0.32532165062648943
burgers,80.0,1,80,120,10.0,1,1.0,256,0.5,0.9379551001540133,0.39892719535712096
burgers,80.0,1,80,120,10.0,1,1.0,1024,0.5,1.0176905159197536,0.2535159256586875
burgers,80.0,1,80,120,10.0,1,1.0,4096,0.5,1.0730198980279897,0.40961175048465803
burgers,80.0,1,80,120,10.0,1,1.0,64,1.0,0.7419570591735731,0.3683095968447866
burgers,80.0,1,80,120,10.0,1,1.0,256,1.0,0.9394400078126088,0.30445392130841664
burgers,80.0,1,80,120,10.0,1,1.0,1024,1.0,1.0466939953553955,0.22638856614426373
burgers,80.0,1,80,120,10.0,1,1.0,4096,1.0,1.116291512029177,0.15749440941448567
burgers,80.0,2,80,120,10.0,0,1.0,64,0.25,0.9740740052948098,0.5486961660864247
burgers,80.0,2,80,120,10.0,0,1.0,256,0.25,0.9884439631580608,0.5596139973163206
burgers,80.0,2,80,120,10.0,0,1.0,1024,0.25,0.7903971928719469,0.5733563003909123
burgers,80.0,2,80,120,10.0,0,1.0,4096,0.25,0.8473638822896554,0.3554201280835695
burgers,80.0,2,80,120,10.0,0,1.0,64,0.5,0.9032569055199275,0.3290180559933762
burgers,80.0,2,80,120,10.0,0,1.0,256,0.5,0.9371155058667535,0.29506512445269106
burgers,80.0,2,80,120,10.0,0,1.0,1024,0.5,0.997770742128221,0.31565759321084896
burgers,80.0,2,80,120,10.0,0,1.0,4096,0.5,0.9485694486049208,0.2628796719713443
burgers,80.0,2,80,120,10.0,0,1.0,64,1.0,0.9607462855007411,0.19881766475382467
burgers,80.0,2,80,120,10.0,0,1.0,256,1.0,0.9550501693690812,0.09008585442569195
burgers,80.0,2,80,120,10.0,0,1.0,1024,1.0,0.9625762869910479,0.059278004403334195
burgers,80.0,2,80,120,10.0,0,1.0,4096,1.0,0.9707340790709655,0.01791725556876389
