N,repeat,method,sigma,n_samples,converged,n_nonfinite,train_objective,fit_time,rmse,coverage_95.45,width_95.45,coverage_99.9,width_99.9,interval_score,nll,zero_density,nll_floor
10,2,pacm,1.0,4.0,True,0,2.308271579008806,0.03013716684654355,38.19361394069623,1.0,265.8391635161132,1.0,437.3749024634324,265.8391635161132,5.170669411804878,0.0,5.174649356529256
10,2,pacm,0.3,4.0,True,0,2.438608828093359,0.04067341610789299,36.32862203187353,1.0,156.92466158185255,1.0,258.1820813971593,156.92466158185255,4.798842790101244,0.0,4.804292915465002
10,2,pacm,0.1,4.0,True,0,6.675814900614602,0.05470604170113802,35.10177950107275,0.879,104.05208145219981,1.0,171.19286855382595,174.29989350462733,4.976059622579795,0.0,4.971351629620103
10,2,pacm,0.03,4.0,True,0,54.36132202139097,0.14400441711768508,35.19566008134186,0.887,96.73888644146089,0.9365,159.16075141874433,195.07518159247417,5.527362739808983,0.0,5.108773254510796
10,2,pacm,0.01,4.0,True,0,467.47968144313893,0.21991587476804852,35.126067152299576,0.9155,103.7190155343542,0.949,170.64488807042065,176.5327650930314,5.220597145947043,0.0,4.996872888810541
10,2,pacm,0.003,4.0,True,0,5171.342268358125,0.712573082651943,35.0004615347333,0.923,104.287893407581,1.0,171.58084085113683,130.7249894374185,4.79742167744204,0.0,4.800990745497823
10,2,pacm,1.0,16.0,True,0,2.2312837908436403,0.04787520878016949,45.64027300273259,1.0,368.7507928774719,1.0,606.6914292646044,368.7507928774719,5.360469865807389,0.0,5.362488523208918
10,2,pacm,0.3,16.0,True,0,1.891432523860337,0.06451774993911386,46.64996803492882,1.0,274.02529509338007,1.0,450.8432283970674,274.02529509338007,5.119929647374668,0.0,5.123365294559478
10,2,pacm,0.1,16.0,True,0,2.129110295749553,0.14105704193934798,39.59620410855913,1.0,199.46933284450236,1.0,328.1791849003547,199.46933284450236,4.9660234402431795,0.0,4.97058751109849
10,2,pacm,0.03,16.0,True,0,6.841357818183377,0.1260360418818891,35.378536950032284,0.807,118.77627176877006,0.873,195.4180098700436,340.5297338953669,7.241193271573148,0.0,5.530660684738232
10,2,pacm,0.01,16.0,True,0,52.632854130033905,0.13626549998298287,37.40171924058371,1.0,171.31601046592255,1.0,281.8596115670352,171.31601046592255,4.9792757947441215,0.0,4.984054481198534
10,2,pacm,0.003,16.0,True,0,486.438401157117,0.2402878748252988,37.069126166054254,0.9215,123.21358140117096,1.0,202.71854392981825,155.22900951754698,4.8803669832093535,0.0,4.883680865375418
10,2,pacm,1.0,64.0,True,0,2.231935197078007,0.12311449972912669,53.910667792685736,1.0,476.95387232433563,1.0,784.7137744050582,476.95387232433563,5.492811190390597,0.0,5.492788746863911
10,2,pacm,0.3,64.0,True,0,1.8438220042933708,0.24321120791137218,39.9008096394003,1.0,374.7710432796385,1.0,616.596314600634,374.7710432796385,5.247176020870895,0.0,5.249059201073442
10,2,pacm,0.1,64.0,True,0,1.9167268937835913,0.28023104229941964,43.03673944889679,1.0,162.72796743974183,1.0,267.73003625824185,162.72796743974183,4.785367181104097,0.0,4.790270704686628
10,2,pacm,0.03,64.0,True,0,2.79489219084861,0.439432957675308,37.13626561618692,0.867,141.25708361535615,0.916,232.40482083743288,262.10172281754336,5.359664862549291,0.0,5.249338537007345
