problem,size,seed,method,n_rows,n_units,n_params,units_per_param,failed,fit_time,rmse,coverage_95.45,width_95.45,coverage_99.9,width_99.9,interval_score,nll,zero_density,nll_floor,bound,trivial_bound,lam,empirical,monte_carlo,kl,complexity,concentration,mixture_empirical,outside_support_fraction,pac_test_risk,pvi_lam,converged,n_nonfinite
burgers,16.0,14,PVI,48,16,8,2.0,False,1.97883425001055,0.0662835281067342,0.89375,0.1862496104697243,0.9447916666666668,0.3064292865490874,0.4804096798847926,-1.2032569611339734,0.0,-1.8475629590628553,,,,,,,,,,,,0.0,True,
burgers,16.0,14,PVI (lamb=1),48,16,8,2.0,False,2.624127166811377,0.0660805498199877,0.8994791666666667,0.1887361051548122,0.9541666666666668,0.310520220164669,0.4652168219957576,-1.311029454106304,0.0,-1.8881973111933144,,,,,,,,,,,,1.0,True,
burgers,16.0,14,POPS ellipse (free center),48,16,8,2.0,False,0.0166065418161451,0.0697648579940305,0.7296875,0.0903971501338333,0.8364583333333333,0.1251734642730141,0.5664274630203371,inf,0.1234375,-1.185480207592145,,,,,,,,,,,,,,
burgers,16.0,14,Ellipse+EB (free center),48,16,8,2.0,False,0.0148152499459683,0.0697945109522578,0.8515625,0.109612047334753,0.9328125,0.1662364913664612,0.4946123767040283,inf,0.0338541666666666,-1.8364483608955624,,,,,,,,,,,,,,
burgers,16.0,14,Ellipse+PAC (free center),48,16,8,2.0,False,0.2448189579881727,0.0705821952238809,0.9421875,0.262472949570153,0.9765625,0.4802277452629399,0.490534308814859,inf,0.0135416666666666,-1.6805759806374996,4.004054163238056,5.560681631015528,3.0,-1.8788049733286551,0.0480671017161582,1.9621613744569752,5.834792034850553,0.0,-2.017879031816714,0.0158125,,,,
burgers,16.0,15,Bayesian ridge,48,16,8,2.0,False,0.0007769577205181,0.0750128647103578,0.5166666666666667,0.0555294142303234,0.740625,0.0913603993166618,0.9925852276006578,25.982349484691408,0.0,-0.3277660190407734,,,,,,,,,,,,,,
burgers,16.0,15,POPS hypercube,48,16,8,2.0,False,0.1755263754166662,0.0750128647103578,0.6755208333333333,0.0869697517616775,0.8213541666666667,0.1189033142128106,0.8084965837120509,,,,,,,,,,,,,,,,,
burgers,16.0,15,POPS ellipse,48,16,8,2.0,False,0.0069061247631907,0.0750128647103578,0.825,0.1068727557611892,0.9020833333333332,0.1479873320699397,0.6032134972451338,inf,0.0802083333333333,-1.4715240328743786,,,,,,,,,,,,,,
burgers,16.0,15,Ellipse+EB,48,16,8,2.0,False,0.0313768750056624,0.0750128647103578,0.9041666666666668,0.1446059411041555,0.9442708333333332,0.2284863797575733,0.5551400311280622,inf,0.0375,-1.6747255991081758,,,,,,,,,,,,,,
burgers,16.0,15,Ellipse+PAC,48,16,8,2.0,False,0.31410300033167,0.0736799581940085,0.959375,0.3019085678987105,0.9859375,0.6184734170491377,0.5011579507918421,inf,0.0020833333333333,-1.463433297293363,4.683950701961502,5.560681631015528,5.0,-1.4573063295071624,0.0370419960472335,4.292728401222806,6.104215035421431,0.0,-1.50490435993802,0.0071822916666666,-1.4611313623574589,,,
burgers,16.0,15,Bayesian stacking,48,16,8,2.0,False,0.0110511658713221,0.0854122943161164,0.8359375,0.2000300343881946,0.9125,0.2877065015273261,0.8372600575017863,1.0887364405693538,0.0,-1.1537206379546097,,,,,,,,,,,,,,
burgers,16.0,15,PVI,48,16,8,2.0,False,2.014487541746348,0.0767098472867038,0.8880208333333334,0.1600093853351952,0.9416666666666668,0.2632572581803717,0.5816540042891911,-0.0971190283281317,0.0,-1.7709686115345629,,,,,,,,,,,,0.0,True,
burgers,16.0,15,PVI (lamb=1),48,16,8,2.0,False,2.5950478753075004,0.0775357586974748,0.8828125,0.1574394980054056,0.9421875,0.2590291218691445,0.5794521109806643,0.0460744063090152,0.0,-1.739750411019048,,,,,,,,,,,,1.0,True,
burgers,16.0,15,POPS ellipse (free center),48,16,8,2.0,False,0.0122247920371592,0.0747085333300012,0.7833333333333333,0.111989121623717,0.884375,0.1550719939044403,0.527034792146904,inf,0.0760416666666666,-1.5031560679866274,,,,,,,,,,,,,,
burgers,16.0,15,Ellipse+EB (free center),48,16,8,2.0,False,0.0124557092785835,0.0747041304285134,0.8838541666666667,0.1272690878655212,0.946875,0.1889263307319862,0.4941172673750923,inf,0.034375,-1.8921681460950113,,,,,,,,,,,,,,
burgers,16.0,15,Ellipse+PAC (free center),48,16,8,2.0,False,0.3269908749498427,0.0710070315603867,0.9661458333333334,0.4611787390465302,0.9885416666666668,0.788224611666943,0.57492616017129,inf,0.0020833333333333,-1.5515957375514948,4.479175930245731,5.560681631015528,2.5,-1.4045581063647643,0.0445520155295493,2.79184970012124,5.839182021080946,0.0,-1.5479015788842465,0.01709375,,,,
