cases,seed,method,dissipation_coverage,dissipation_width,dissipation_error,steepness_coverage,steepness_width,steepness_error
40,12,POPS ellipse,0.9333333333333332,0.727871079093944,0.0556051938763865,0.5333333333333333,0.4507212472396039,0.1763413813319259
40,12,Ellipse+EB,0.95,0.7409166685623445,0.049827790022547,0.5833333333333334,0.4733393972925948,0.1749070076658508
40,12,Ellipse+PAC,0.95,0.7973006593156211,0.0577036235749592,0.65,0.511636382434168,0.1786495319353732
40,12,Bayesian stacking,0.5333333333333333,0.3599140460668693,0.0672898097764508,0.4,0.3021408559387651,0.1770646819587251
40,12,PVI,1.0,0.911227304199098,0.0831241888926333,0.7333333333333333,0.6661111295721682,0.1332792223618456
40,13,Bayesian ridge,0.4666666666666667,0.1305303831785782,0.0870309918193486,0.35,0.1041686362502884,0.1769102688522393
40,13,POPS hypercube,1.0,2.059517586880908,0.4355328638158026,0.8666666666666667,0.7202153288670095,0.1996163707324948
40,13,POPS ellipse,1.0,1.4641899273055905,0.0857038420297168,0.7833333333333333,0.8002151910535578,0.1792712838762681
40,13,Ellipse+EB,1.0,1.5042824095931129,0.0954190307276236,0.7833333333333333,0.8301423206639948,0.185321585437675
40,13,Ellipse+PAC,1.0,1.4404742571190448,0.0926461698194823,0.7666666666666667,0.9117923099774624,0.1783012246919935
40,13,Bayesian stacking,0.5666666666666667,0.3645939245614604,0.0951437399251657,0.4166666666666667,0.3451734950428217,0.1787221873810602
40,13,PVI,1.0,1.107831315705122,0.0813168346106011,0.6666666666666666,0.7166383110329557,0.1815607431825998
40,14,Bayesian ridge,0.3,0.0604508886390831,0.0826198932794597,0.15,0.0435559547414604,0.1804247686196505
40,14,POPS hypercube,0.8166666666666667,0.3623479407314283,0.0508456115361468,0.5,0.263037764536961,0.1506411765193957
40,14,POPS ellipse,0.7,0.3002039012882869,0.0866942395062838,0.4666666666666667,0.2097234889250099,0.1806679537164721
